Code Name,file needed or made,File Name,File Type,found/not found,comments,,,,,
fig 1 rna expression,needed,ST227_day3_21,RDS,found,,,,,,
fig 2 barcode preprocessing,needed,SPLINTR_counts_NGS_ST218,TXT,not found,,,,,,
,needed,filenames,TXT,not found,,,,,,
,needed,GFP_reference,TXT,not found,comparison/reference ,,,,,files to be uploaded
,needed,BFP_reference,TXT,not found,,,,,,code to change to make files
,needed,mCh_reference,TXT,not found,,,,,,
,made,raw_total_counts,TXT,not found,total count of all barcodes grp by protein ,,,,,
,made,ST218.1,seurat obj,not found,made by putting barcode and protein as row,,,,,
,needed,ST208.avg,seurat obj,not found,replace 218 nos w 208 ???,,,,,
,made,ST218.norm.cell_PA,RDS,found,,,,,,
,made,ST218.norm.cell_PB,RDS,found,,,,,,
,made,common_barcodes.cell,RDS,found,,,,,,
,made,common_barcodes_colum_norm,TXT,found,"we have norms for both cell and cpm, not cure what colum is ",,,,,
,made,common_barcodes.cpm,RDS,found,,,,,,
,made,common_barcodes.cell.plate,RDS,found,,,,,,
,made,common_barcodes.cpm.plate,RDS,found,,,,,,
fig 3 bulk barcodes plots,needed,ST223_common.barcodes.cpm,TXT,found,"previous file renamed here, need to upload this",,,,,
,needed,common_barcodes.cell.1,RDS,not found,these are just rewritten ,,,,,
,needed,common_barcodes.cpm.1,RDS,not found,"this is later needed, diff b/w this file and the one w/o the 1? ",line 190,line 299,,,
,made,ST223_common.barcodes.cpm,TXT,,,,,,,
,made,ST223_common.barcodes.cell,TXT,,you are rewriting the file you just opened here? Check,line 165,,,,
,needed,common_barcodes.cpm.plate,TXT,not found,,,,,,
,made,dt_A,seurat obj,not found,"made from dt file, thatŐs made from common_barcodes.cpm.1, need code for this. ",,,,,
,made,dt_B,seurat obj,not found,,,,,,
,needed,all_time_cell.common,TXT,not found,check barcodes in cmp dataset are in same order as ones in cell no. dataset. No reference to this before line 340. ,line 340,,,,
,needed,tot.common,seurat obj,not found,,line 444,,,,
,needed,ST223.annotated,RDS,found,,,,,,
,needed,all_barcodes,seurat obj,not found,needed for venn diagram,line 677,,,,
,needed,biomass,seurat obj,not found,"made from tot.common, need code for this ",lne 1019,,,,
fig 3 seurat cluster annotation,needed,ST223.rna.adt.singlets,RDS,not found,,,,,,
,needed,ST223.annotated_fate,seurat obj,found,"exists in previous code, need to run that to make this,",prev code line 755,,,,
fig 3 barcode clustering,needed,ST223_all_barcodes.cpm.norm,TXT,found,no mention in prev code,,,,,
,needed,ST223_all_barcodes.cell.norm,TXT,found,,,,,,
,needed,ST223_common.barcodes.cell,TXT,found,,,,,,
,needed,ST223_common.barcodes.cpm,TXT,found,,,,,,
,needed,ST223.rna.singlets,RDS,found,,line 57,,,,
,made,avg.common.cell.barcodes,TXT,found,,,,,,
,needed,avg.common.cpm.barcodes,seurat obj,not found,"made previously from code like the cell barcodes, write code",,,,,
fig 3 omics integration demulti,needed,filtered_feature_bc_matrix,10X ,not found,makes ST223.mgi,,,,,
,needed,V350096710_S1_L002_splintr_counts,CSV,found,,,,,,
,needed,V350096710_S1_L001_splintr_counts,CSV,found,,,,,,
,needed,meta.data,TXT,not found,,,,,,
,made,barcodes,,not found,"bug in line 35?? Barcodes <- select(SPLINTR, V1, barcode)",,,,,
,needed,donor_ids,TSV,not found,"after snp demux, this is overwritten",,,,,
,needed,ST218.1,,not found,,,,,,
,needed,ST208.1,,not found,,,,,,
,made,Total_barocdes,,,,,,,,
,needed,ADT,RDS,not found,,,,,,
,made,ST223.rna.singlets,RDS,found,,,,,,
fig 3 rna analysis,needed,ST223.rna.singlets,RDS,found,"from prev code, code reqd here",,,,,
,needed,donors ,TSV,,"from prev code (donors <- read.table(É/donor_ids.tsv), code reqd here",,,,,
,needed,barcodes,seurat obj,,"from prev code, code reqd here",,,,,
,needed,Tot_barcodes_cell_for_scRNAseq,TXT,,,line 72,,,,
,needed,m.bm.singlets.mgi,seurat obj,,"made in this code, code needed bc what is this referring to?",,,,,